城市,站点名称,lng,lat,id,name,正反线路
城市,站点名称,lng,lat,id,name,正反线路
城市,站点名称,lng,lat,id,name,正反线路
大连,嘉汇三中,121.57254375579377,38.96665802887825,BV10102093,8路(姚家--五四广场),2
大连,芙蓉小学,121.57322542676695,38.95986676533221,BV10102092,8路(姚家--五四广场),2
大连,王家桥,121.57537868125756,38.95497549051009,BV10101907,8路(姚家--五四广场),2
大连,促进小区,121.57385229538386,38.950444015281185,BV10102079,8路(姚家--五四广场),2
大连,高云路,121.57226058676747,38.94683181482013,BV09123929,8路(姚家--五四广场),2
大连,香周路,121.57349153279962,38.94414751565432,BV10102081,8路(姚家--五四广场),2
大连,春柳隧道,121.57593201372977,38.93995298476838,BV09123328,8路(姚家--五四广场),2
大连,春柳地铁站,121.57723302061022,38.93513680411506,BV10625533,8路(姚家--五四广场),2
大连,车家村,121.58032439009088,38.932790107366166,BV10101913,8路(姚家--五四广场),2
大连,香工街,121.5858370563576,38.92863790703091,BV10101914,8路(姚家--五四广场),2
大连,沙河口火车站,121.58663721548194,38.92244282092397,BV10101763,8路(姚家--五四广场),2
大连,新长兴市场,121.58547379348376,38.92002292433578,BV10686606,8路(姚家--五四广场),2
大连,兴工街,121.58589245006897,38.91644816964713,BV10482520,8路(姚家--五四广场),2
大连,五四广场,121.58601593736104,38.912744394112494,BV10101760,8路(姚家--五四广场),2
大连,东北财经大学,121.54257143412929,38.876902528327214,BV10101748,33路(东北财经大学--泡崖八区),1
大连,经贸学校,121.54560556338998,38.88038776809222,BV10101845,33路(东北财经大学--泡崖八区),1
大连,尖山街,121.5512001287806,38.88081113785245,BV10101846,33路(东北财经大学--泡崖八区),1
大连,孙家沟,121.55546371360568,38.885672626436666,BV10101812,33路(东北财经大学--泡崖八区),1
大连,徐州街,121.55506755777584,38.88793267757838,BV10101811,33路(东北财经大学--泡崖八区),1
大连,莱州街,121.55765076011775,38.89279496387574,BV10101810,33路(东北财经大学--泡崖八区),1
